	sample	read_count	ploidy	k	min_hom	max_hom	min_het	max_het	min_hap_len	max_hap_len	min_rep_len	max_rep_len	min_uniq_len	max_uniq_len	min_model_fit	max_model_fit	min_read_error_rate	max_read_error_rate
1	Apolemia-sp3	294867242	2	21	95.1536	96.6625	3.33746	4.84638	167658274	178134448	146576637	155735518	21081638	22398930	25.0705	85.7209	2.29056	2.29056
3	Stephalia-dilata	441906620	2	21	94.2493	97.4593	2.5407	5.75067	292423260	316931719	260383310	282206449	32039951	34725270	23.7087	84.6189	1.96799	1.96799
5	Erenna-sirena	670489690	2	21	95.1971	96.6735	3.32647	4.80288	428738750	454645539	374028921	396629837	54709829	58015702	25.9845	86.3591	2.21636	2.21636
7	Resomia-ornicephala-T898-D2	1145129994	2	21	98.9699	100.0	0.0	1.03011	1660789455	2241026972	1000354970	1349853506	660434486	891173466	48.0332	93.7111	0.507007	0.507007
9	Resomia-ornicephala-T845-D3	338144852	2	21	85.1048	97.2289	2.77105	14.8952	466899513	482151337	325482353	336114618	141417161	146036719	32.683	84.2054	1.40665	1.40665
11	Rosacea-flaccida	203202682	2	21	94.6983	95.7772	4.22283	5.30167	157288426	164538146	128935437	134878314	28352989	29659832	30.4937	86.1471	3.24999	3.24999
13	Abylopsis-tetragona	212920404	2	21	95.2445	96.2104	3.78961	4.75546	164923689	173373420	137528495	144574655	27395194	28798765	29.8982	87.0954	3.14342	3.14342
15	Hippopodius-hippopus	541211246	2	21	95.2605	96.2297	3.77026	4.73947	359707281	379514401	297696066	314088567	62011214	65425834	30.7696	89.425	2.53086	2.53086
17	Agalma-elegans-Pacific	2072420934	2	21	97.1612	97.2349	2.7651	2.83881	2329230058	2348225503	1341982317	1352926514	987247741	995298990	54.2543	97.0542	0.465102	0.465102
19	Chelophyes-appendiculata	706805948	2	21	94.7547	94.922	5.07803	5.24532	1199657949	1207774278	684498267	689129264	515159682	518645013	53.0416	94.9786	0.347663	0.347663
21	Gymnopraia-lapislazula	1762362022	2	21	92.2489	95.643	4.35703	7.75107	2327701167	2438153609	1956561729	2049403122	371139439	388750487	23.272	84.3982	0.791838	0.791838
23	Apolemia-rubriversa	506486748	2	21	95.3099	96.5911	3.40895	4.69014	339364268	359384860	296642430	314142674	42721837	45242187	24.9699	86.6122	2.38164	2.38164
25	Craseoa-lathetica	343982826	2	21	95.1934	96.3971	3.60294	4.80657	247149676	261153419	212535664	224578144	34614012	36575276	26.3525	87.353	2.22511	2.22511
27	Rhizophysa-eysenhardtii	478986370	2	21	95.3777	96.3556	3.64438	4.62229	358982874	378009868	310227844	326670698	48755030	51339169	25.2001	85.9855	2.76353	2.76353
29	Frillagalma-vityazi	577599776	2	21	95.0429	96.5059	3.49413	4.95706	326281516	346149725	282768437	299987010	43513080	46162715	25.5006	86.9614	2.16026	2.16026
31	Forskalia	542475532	2	21	95.2615	96.7131	3.28689	4.7385	388610554	413209101	341631035	363255839	46979519	49953262	24.7143	86.6027	2.13244	2.13244
33	Praya	477773300	2	21	95.2303	96.3998	3.60018	4.76967	321128107	339729227	278642298	294782457	42485809	44946769	24.5851	86.5309	2.35939	2.35939
35	Chuniphyes-multidentata	445337996	2	21	95.1928	96.6849	3.31508	4.80721	345957525	367144670	305335115	324034461	40622410	43110209	23.9762	84.9518	1.88609	1.88609
37	Physonect	461127610	2	21	95.013	96.6982	3.30182	4.98701	320044117	340866638	280788091	299056560	39256025	41810078	24.4725	85.9067	2.36851	2.36851
39	Lilyopsis-fluoracantha	570590952	2	21	94.8997	96.8926	3.10736	5.10031	362289287	386835483	318646844	340236132	43642443	46599351	25.2003	86.6105	1.98115	1.98115
41	Bargmannia-lata	303925700	2	21	95.3184	96.3272	3.67279	4.68164	231422982	243658928	197809578	208268295	33613403	35390633	27.01	86.9254	2.3951	2.3951
43	Agalma-clausi	209032608	2	21	95.3836	96.2106	3.78942	4.61636	114859773	120314419	93509626	97950362	21350147	22364057	33.9413	88.4478	4.57307	4.57307
45	Agalma-elegans-Atlantic	194337314	2	21	95.3303	96.198	3.80204	4.66969	121641413	127555593	100388732	105269611	21252681	22285981	31.7175	87.3331	3.89489	3.89489
47	Agalma-okeni	514011324	2	21	92.4243	94.7635	5.23648	7.5757	938791723	968914920	743861788	767730229	194929935	201184691	28.9926	79.2946	2.14101	2.14101
49	Cordagalma	302623138	2	21	94.6257	94.7661	5.2339	5.37426	690202530	696118716	352763084	355786851	337439446	340331865	56.4379	95.8082	0.388509	0.388509
51	Diphyes-dispar	398216508	2	21	95.601	96.3604	3.63958	4.39902	297490458	310714633	249932205	261042300	47558253	49672333	30.6989	86.5445	3.13086	3.13086
53	Stephanomia-amphytridis	344170966	2	21	95.3676	96.4018	3.59822	4.6324	160815641	169519152	140711576	148327034	20104065	21192118	23.7023	86.8483	2.58076	2.58076
55	Halistemma-rubrum-Mediterranean	207987406	2	21	95.1421	96.573	3.42702	4.85793	157599662	167574640	136270368	144895348	21329294	22679292	26.1467	86.1744	2.86707	2.86707
57	Halistemma-rubrum-Atlantic	343001272	2	21	95.5625	96.4937	3.50629	4.43746	246849409	260416858	214749547	226552709	32099861	33864148	24.7035	86.2957	2.67076	2.67076
59	Rhizophysa-filiformis	318527826	2	21	95.3419	96.3336	3.66641	4.65808	198556480	208780334	167336940	175953271	31219540	32827063	29.4304	87.1073	3.47398	3.47398
61	Nanomia-bijuga-Atlantic	626286044	2	21	95.9277	95.9869	4.01309	4.07235	714112344	716359683	319483494	320488922	394628849	395870762	66.3075	95.8975	0.271925	0.271925
63	Nanomia-bijuga-Pacific	580362874	2	21	99.2332	99.4147	0.585287	0.766797	1450354182	1460253865	919081335	925354709	531272847	534899156	42.5538	96.8639	0.477653	0.477653
65	Bargmannia-elongata	602474866	2	21	94.4583	97.187	2.81303	5.54174	354935394	383364444	316773429	342145844	38161964	41218601	22.3967	85.6426	1.8617	1.8617
67	Praya-dubia	769166022	2	21	95.1672	96.6167	3.3833	4.83283	438771020	466557826	388855066	413480758	49915955	53077068	22.3405	86.3086	1.9192	1.9192
69	Physalia-physalis-Pacific	1341858426	2	21	96.9309	97.0208	2.97919	3.06907	1698611567	1717175667	1113539336	1125709190	585072231	591466477	43.8113	95.7099	0.502461	0.502461
71	Physalia-physalis-Pacific-Guam-104464	572013518	2	21	91.0662	94.6212	5.37884	8.93379	935132915	975477062	725545564	756847549	209587351	218629513	28.158	87.0492	1.0311	1.0311
