sample	k	min_hom	max_hom	min_het	max_het	min_hap_len	max_hap_len	min_rep_len	max_rep_len	min_uniq_len	max_uniq_len	min_model_fit	max_model_fit	min_read_error_rate	max_read_error_rate	reads_pairs_raw	nucleotides_raw	reads_pairs_trimmed	nucleotides_trimmed	fraction_trimmed	reads_unpaired_trimmed	nucleotides_unpaired_trimmed	kraken_unclassified	kraken_Homo_sapiens	kraken_Bacteria	peak_location	peak_location_unclassified
Abylopsis-tetragona	21	95.2424	96.2121	3.7879	4.75758	162473749	170809181	135465919	142415762	27007830	28393420	29.9467	87.1438	3.1178	3.1178	106460202	32150981004	106342097	31296357713	0.026581562	1888	151982	94.94	4.51	0.27	None	None
Agalma-clausi	21	95.3843	96.209	3.79099	4.61575	111933470	117236624	90980071	95290501	20953399	21946123	34.187	88.4817	4.5822	4.5822	104516304	31563923808	103938702	30665810410	0.028453794	6521	400091	87.65	10.81	0.9	None	None
Agalma-elegans-Atlantic	21	95.3305	96.1975	3.8025	4.6695	119894417	125724081	98882720	103690725	21011697	22033356	31.8091	87.341	3.884	3.884	97168657	29344934414	96986595	28766192726	0.01972203	2426	176562	95.26	3.92	0.44	None	None
Agalma-elegans-Pacific	21	97.1643	97.2374	2.76255	2.83574	2314534633	2333263248	1330071087	1340833678	984463546	992429570	54.457	97.0336	0.434644	0.434644	1036210467	3.12936E+11	1034742285	3.08165E+11	0.015243936	18910	1550457	93.39	5.4	0.65	"36,71"	"35,70"
Agalma-okeni	21	91.5737	94.6908	5.30923	8.42633	1009517178	1042122725	778968499	804127748	230548679	237994978	29.8869	79.1876	1.94883	1.94883	257005662	77615709924	255281758	72973417106	0.059811252	16980	1112544	93	6.09	0.47	4	4
Apolemia-rubriversa	21	95.3145	96.5459	3.45405	4.68553	318513959	337373254	278792336	295299704	39721622	42073550	24.1469	86.0956	2.37222	2.37222	253243374	76479498948	249821339	67031870085	0.123531521	26940	1557971	90.94	8.26	0.37	None	None
Apolemia-sp3	21	95.0898	96.7408	3.25919	4.9102	154991185	164981702	136052227	144821964	18938958	20159737	24.875	85.732	2.2708	2.2708	147433621	44524953542	145572332	40164908631	0.097923626	18067	989175	89.72	9.86	0.12	None	None
Bargmannia-elongata	21	94.2847	97.3227	2.67725	5.71527	341119032	369616748	304744811	330203757	36374221	39412991	22.4212	85.7487	1.80724	1.80724	301237433	90973704766	299470442	86607167380	0.047997797	16601	1130403	82.4	15.67	1.26	None	None
Bargmannia-lata	21	95.3349	96.3573	3.64274	4.66512	220695967	232482042	189004196	199097800	31691770	33384242	26.9601	87.1039	2.35125	2.35125	151962850	45892780700	150626304	42491456569	0.074114579	12141	711830	94.85	3.77	0.87	None	None
Chelophyes-appendiculata	21	94.7557	94.9217	5.07833	5.24429	1192906318	1200927007	678869599	683434083	514036719	517492924	53.154	94.9817	0.312958	0.312958	353402974	1.06728E+11	353189080	1.04714E+11	0.018863101	3256	298858	96.61	2.79	0.28	28	28
Chuniphyes-multidentata	21	95.1663	96.7219	3.27813	4.83371	330258779	350873569	292262245	310505287	37996534	40368282	23.7114	84.966	1.84125	1.84125	222668998	67246037396	221279565	62274277509	0.073933871	15060	1004376	97.17	2.07	0.32	None	None
Cordagalma-ordinatum	21	94.6212	94.7569	5.24306	5.37875	683421508	688605197	346928684	349560105	336492825	339045092	56.7627	95.8767	0.329094	0.329094	151311569	45696093838	150794177	43829975721	0.040837585	5014	296138	97.53	1.49	0.59	21	21
Craseoa-lathetica	21	95.1718	96.4352	3.5648	4.82819	236663775	250333689	203872640	215648508	32791135	34685181	26.3521	87.5804	2.18317	2.18317	171991413	51941406726	170722058	48993353136	0.056757292	11039	633866	90.39	6.74	2	None	None
Diphyes-dispar	21	95.6176	96.3776	3.62245	4.38242	290800378	303799058	244361301	255284170	46439077	48514888	30.8121	86.7158	3.11381	3.11381	199108254	60130692708	198253575	57978025946	0.0357998	8702	625045	93.02	6.17	0.42	None	None
Erenna-sirena	21	95.2096	96.661	3.33901	4.79039	404476543	428962757	353011133	374381733	51465410	54581025	25.7443	86.2747	2.20491	2.20491	335244845	1.01244E+11	331332270	92001382335	0.091290013	38847	2555374	86.51	12.06	0.8	None	None
Forskalia	21	95.2705	96.7196	3.28041	4.72952	367310084	390746047	323809696	344470147	43500388	46275900	24.1998	86.2856	2.09856	2.09856	271237766	81913805332	267534289	74234395065	0.09374989	31837	1900216	87.36	9.23	2.39	None	None
Frillagalma-vityazi	21	95.0293	96.4823	3.51769	4.97073	303080833	321722747	262844789	279011862	40236044	42710885	25.0568	86.7822	2.14117	2.14117	288799888	87217566176	284049044	77159713246	0.115319119	37937	2475095	86.79	10.29	1.49	None	None
Gymnopraia-lapislazula	21	92.1327	95.6471	4.35293	7.86726	2280100841	2387611798	1914883877	2005174182	365216964	382437617	23.1633	84.3153	0.748393	0.748393	881181011	2.66117E+11	878094696	2.56147E+11	0.037464209	34974	2642225	96.82	2.66	0.25	13	13
Halistemma-rubrum-Atlantic	21	95.5671	96.5043	3.49565	4.43295	241240933	254574568	209951578	221555818	31289355	33018750	24.7211	86.3879	2.63464	2.63464	171500636	51793192072	170904927	50041055664	0.033829473	6952	529247	94.24	4.77	0.52	None	None
Halistemma-rubrum-Mediterranean	21	95.1309	96.5799	3.42008	4.8691	155650482	165542128	134612457	143167129	21038025	22375000	26.158	86.2091	2.83827	2.83827	103993703	31406098306	103785525	30770925514	0.020224505	2628	174076	96.1	3.24	0.35	None	None
Hippopodius-hippopus	21	95.2493	96.2155	3.78454	4.75073	337513950	356274054	278697596	294188500	58816354	62085555	30.8482	89.4382	2.51207	2.51207	270605623	81722898146	266036377	73085640537	0.105689566	33821	2155318	85.75	10.99	2.61	None	None
Lilyopsis-fluoracantha	21	94.766	97.014	2.98602	5.23398	342753940	366936437	302374212	323707777	40379728	43228660	24.8932	85.8431	1.946	1.946	285295476	86159233752	282743251	80425818832	0.066544405	22078	1636116	86.68	11.18	1.38	None	None
Nanomia-bijuga-Atlantic	21	95.928	95.9868	4.0132	4.07202	710501820	712720761	316527936	317516472	393973884	395204288	66.4535	95.8843	0.240616	0.240616	313143022	94569192644	312831667	92498995049	0.021890824	2851	236309	97.93	1.04	0.63	"43,88"	"43,87"
Nanomia-Pacific	21	99.239	99.4211	0.578924	0.761045	1443866966	1453683475	913990754	920204760	529876212	533478715	42.6056	96.8583	0.453108	0.453108	290181437	87634793974	290026422	86474099796	0.013244673	3051	223772	96.96	2.06	0.52	"18,36"	"18,36"
Physalia-physalis-Pacific	21	96.9449	97.029	2.97105	3.05515	1639333833	1655617167	1063127034	1073686966	576206798	581930201	44.4788	95.704	0.429663	0.429663	670929213	2.02621E+11	663882135	1.85355E+11	0.08521306	97535	5199706	98.25	1.46	0.1	"29,57"	"29,57"
Physonect	21	94.9255	96.7855	3.21446	5.07451	306335811	326942926	269479795	287607617	36856016	39335309	24.4407	86.111	2.3364	2.3364	230563805	69630269110	229184609	65973513970	0.052516746	17277	1357570	91.42	7.18	0.86	None	None
Praya	21	95.2588	96.442	3.55801	4.74115	303481746	321204489	264066888	279487880	39414858	41716609	24.4759	86.6813	2.31731	2.31731	238886650	72143768300	235931606	66861344702	0.073220788	36440	2551310	82.37	13.15	2.79	None	None
Praya-dubia	21	95.1533	96.6305	3.36954	4.84669	424403657	451454785	376363795	400352903	48039862	51101882	22.3158	86.36	1.88495	1.88495	384583011	1.16144E+11	383255602	1.11355E+11	0.041231298	18226	1362585	79.7	14.71	3.21	None	None
Resomia-ornicephala-T845-D3	21	96.8414	100	0	3.15862	1420338967	2541099692	763258482	1365530298	657080485	1175569394	47.5085	96.2351	0.408986	0.408986	169072426	51059872652	167277750	46814267661	0.083149541	15637	852500	94.49	4.03	0.88	8	7
Resomia-ornicephala-T898-D2	21	96.3098	96.5164	3.48357	3.69018	998026552	1028085012	603585779	621764513	394440773	406320499	50.2262	96.3918	0.484618	0.484618	572564997	1.72915E+11	566160186	1.56551E+11	0.094633842	50086	3180266	89.95	6.63	2.32	27	27
Rhizophysa-eysenhardtii	21	95.4023	96.385	3.61503	4.59765	347711375	366267905	301129849	317200434	46581526	49067472	25.0856	86.111	2.75224	2.75224	239493185	72326941870	238482293	68848621128	0.048091633	10268	739347	96.02	3.71	0.12	None	None
Rhizophysa-filiformis	21	95.3412	96.3349	3.66508	4.65879	196095643	206199907	165227469	173741181	30868174	32458726	29.4806	87.1294	3.46372	3.46372	159263913	48097701726	159073318	47294749747	0.016694186	4737	476593	89.67	9.86	0.12	None	None
Rosacea-flaccida	21	94.6894	95.7715	4.22851	5.31059	154626525	161743077	126673607	132503650	27952918	29239426	30.5638	86.1476	3.22342	3.22342	101601341	30683604982	101191857	29805582035	0.028615378	4391	271545	91.88	6.17	1.21	None	None
Stephalia-dilata	21	95.265	96.2008	3.79915	4.73501	684957502	717200017	615754799	644739785	69202703	72460232	18.2135	81.818	1.43713	1.43713	220953310	66727899620	219048236	62745414918	0.059682453	20315	1246950	90.34	6.81	1.9	None	None
Stephanomia-amphytridis	21	95.3588	96.431	3.56903	4.64118	148669215	156890864	130220504	137421908	18448712	19468955	23.4472	86.2183	2.51598	2.51598	172085483	51969815866	169177559	48093222563	0.07459317	25682	1483628	57.74	36.33	3.77	None	None